priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status,regulatory_verification_date_utc,regulatory_jurisdiction,regulatory_primary_source,clinical_trial_source,fda_application_record_found,fda_application_number,fda_sponsor_name,fda_product_number,fda_marketing_status,fda_dosage_form,fda_route,fda_active_ingredient,fda_drugsfda_match_name,fda_drugsfda_http_status,fda_label_record_found,fda_label_generic_name,fda_label_brand_name,fda_label_manufacturer,fda_label_product_type,fda_label_route,fda_label_indications_excerpt,fda_label_match_name,fda_label_http_status,clinical_trial_record_found,clinical_trial_count_returned,clinical_trial_nct_ids,clinical_trial_statuses,clinical_trial_phases,clinical_trial_conditions,clinical_trial_match_name,clinicaltrials_http_status,regulatory_evidence_category,clinical_evidence_level,manual_regulatory_review_required,her2_breast_cancer_indication_verified,trastuzumab_resistance_indication_verified,final_fda_approval_claim,regulatory_processing_status
1,1,Tier 1 — Strong consensus,5,BRD-K99447003,enalaprilat,-2.249479,-94.186320,-95.636980,3,3,2,-64.024260,-94.186320,-95.636980,-90.000000,1,True,False,True,True,True,True,5462501.000000,Enalaprilat,C18H24N2O5,348.400000,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,"InChI=1S/C18H24N2O5/c1-12(16(21)20-11-5-8-15(20)18(24)25)19-14(17(22)23)10-9-13-6-3-2-4-7-13/h2-4,6-7,12,14-15,19H,5,8-11H2,1H3,(H,22,23)(H,24,25)/t12-,14-,15-/m0/s1",LZFZMUMEGBBDTC-QEJZJMRPSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT00000547 | NCT00160160 | NCT00292162 | NCT00367562 | NCT00391846 | NCT00446862 | NCT00895414 | NCT01364675 | NCT04023227 | NCT05373004,COMPLETED | UNKNOWN,"NA | PHASE2, PHASE3 | PHASE3 | PHASE4","Breast Cancer | Cardiovascular Diseases, Heart Diseases, Heart Failure, Myocardial Diseases | Chagas Disease, Heart Failure | Chronic Heart Failure, Atrial Fibrillation | Diabetic Nephropathy Type 2 | Fabry Disease, Proteinuria | Heart Failure, Ventricular Dysfunction, Left | Hypertension, Type 2 Diabetes | IGA Nephropathy | Pre-diabetes, Pre-hypertension",enalaprilat,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
4,1,Tier 1 — Strong consensus,4,BRD-K33483813,actarit,0.000000,-98.731500,-94.041336,3,2,2,-64.257612,-94.041336,-98.731500,-90.000000,4,False,False,True,True,True,True,2018.000000,Actarit,C10H11NO3,193.200000,CC(=O)NC1=CC=C(C=C1)CC(=O)O,CC(=O)NC1=CC=C(C=C1)CC(=O)O,"InChI=1S/C10H11NO3/c1-7(12)11-9-4-2-8(3-5-9)6-10(13)14/h2-5H,6H2,1H3,(H,11,12)(H,13,14)",MROJXXOCABQVEF-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,404,False,,,,,,,,429,True,1,NCT03660059,COMPLETED,PHASE3,Rheumatoid Arthritis (RA),actarit,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
5,1,Tier 1 — Strong consensus,4,BRD-K45252063,clofibrate,0.000000,-95.066950,-93.316580,3,2,2,-62.794510,-93.316580,-95.066950,-90.000000,5,False,False,True,True,True,True,2796.000000,Clofibrate,C12H15ClO3,242.700000,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,"InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3",KNHUKKLJHYUCFP-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,True,ANDA070531,USL PHARMA,001,Discontinued,CAPSULE,ORAL,CLOFIBRATE,clofibrate,200,False,,,,,,,,404,True,2,NCT00000482 | NCT00000483,COMPLETED,NA | PHASE3,"Cardiovascular Diseases, Coronary Disease, Heart Diseases, Myocardial Infarction, Myocardial Ischemia",clofibrate,200,FDA_APPLICATION_RECORD_FOUND,MODERATE_REGULATORY_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
6,1,Tier 1 — Strong consensus,4,BRD-K19416115,sitagliptin,0.000000,-95.046020,-92.978720,3,2,2,-62.674913,-92.978720,-95.046020,-90.000000,6,False,False,True,True,True,True,4369359.000000,Sitagliptin,C16H15F6N5O,407.310000,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,"InChI=1S/C16H15F6N5O/c17-10-6-12(19)11(18)4-8(10)3-9(23)5-14(28)26-1-2-27-13(7-26)24-25-15(27)16(20,21)22/h4,6,9H,1-3,5,7,23H2/t9-/m1/s1",MFFMDFFZMYYVKS-SECBINFHSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT00704132 | NCT00885352 | NCT01652729 | NCT01879228 | NCT02336659 | NCT02406950 | NCT03959501 | NCT04271189 | NCT05214235 | NCT06115460,COMPLETED | UNKNOWN,NA | PHASE1 | PHASE3 | PHASE4,"Cystic Fibrosis, Pancreatic Insufficiency | Diabetes Mellitus, Spinal Diseases | Diabetes Type 2 | Healthy | Newly Diagnosed Type 2 Diabetes | Severe Obesity | Type 1 Diabetic Nephropathy | Type 2 Diabetes Mellitus | Type 2 Diabetes Mellitus (T2DM) | Type 2 Diabetes, Ketonemia",sitagliptin,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
7,1,Tier 1 — Strong consensus,4,BRD-K01976263,emetine,0.000000,-96.723045,-91.633950,3,2,2,-62.785665,-91.633950,-96.723045,-90.000000,7,False,False,True,True,True,True,10219.000000,Emetine,C29H40N2O4,480.600000,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,"InChI=1S/C29H40N2O4/c1-6-18-17-31-10-8-20-14-27(33-3)29(35-5)16-23(20)25(31)12-21(18)11-24-22-15-28(34-4)26(32-2)13-19(22)7-9-30-24/h13-16,18,21,24-25,30H,6-12,17H2,1-5H3/t18-,21-,24+,25-/m0/s1",AUVVAXYIELKVAI-CKBKHPSWSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,2,NCT05889793 | NCT07016321,NOT_YET_RECRUITING | TERMINATED,"PHASE2, PHASE3",COVID-19 | Dengue,emetine,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
9,2,Tier 2 — Consistent reversal,4,BRD-K13356952,methazolamide,-19.686787,-95.771670,-85.611694,3,3,1,-67.023384,-85.611694,-95.771670,-90.000000,9,True,False,True,True,True,False,4100.000000,Methazolamide,C5H8N4O3S2,236.300000,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,"InChI=1S/C5H8N4O3S2/c1-3(10)7-4-9(2)8-5(13-4)14(6,11)12/h1-2H3,(H2,6,11,12)",FLOSMHQXBMRNHR-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT00257829 | NCT01587027 | NCT02390284 | NCT02463357 | NCT02758470 | NCT02760121 | NCT03362021 | NCT05498103 | NCT05575180 | NCT06312800,ACTIVE_NOT_RECRUITING | COMPLETED | TERMINATED | WITHDRAWN,PHASE1 | PHASE2 | PHASE3 | PHASE4,"Altitude Sickness, Hypertension, Pulmonary | Cervical Cancer | Essential Tremor | Glaucoma | Glaucoma, Open-Angle | High Altitude Effects | Hypoxia | Infertility | Mountain Sickness",methazolamide,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
11,2,Tier 2 — Consistent reversal,4,BRD-K09859624,methantheline,-5.637197,-93.909650,-83.348440,3,3,1,-60.965096,-83.348440,-93.909650,-90.000000,11,True,False,True,True,True,False,4097.000000,Methantheline,C21H26NO3+,340.400000,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,"InChI=1S/C21H26NO3/c1-4-22(3,5-2)14-15-24-21(23)20-16-10-6-8-12-18(16)25-19-13-9-7-11-17(19)20/h6-13,20H,4-5,14-15H2,1-3H3/q+1",GZHFODJQISUKAY-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,1,NCT01429090,COMPLETED,PHASE1,Neurogenic Bladder,methantheline,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
14,2,Tier 2 — Consistent reversal,4,BRD-A48237631,mitomycin-c,-68.170520,-14.945600,-90.274840,3,3,1,-57.796987,-68.170520,-90.274840,-90.000000,14,True,False,True,False,True,True,5746.000000,Mitomycin C,C15H18N4O5,334.330000,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,"InChI=1S/C15H18N4O5/c1-5-9(16)12(21)8-6(4-24-14(17)22)15(23-2)13-7(18-13)3-19(15)10(8)11(5)20/h6-7,13,18H,3-4,16H2,1-2H3,(H2,17,22)/t6-,7+,13+,15-/m1/s1",NWIBSHFKIJFRCO-WUDYKRTCSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT00183885 | NCT00192049 | NCT00201396 | NCT00901108 | NCT01091168 | NCT03658304 | NCT03766425 | NCT04079725 | NCT06319820 | NCT06626802,COMPLETED | RECRUITING | TERMINATED | UNKNOWN,EARLY_PHASE1 | NA | PHASE2 | PHASE3,"Breast Cancer, Metastases | Esophageal Stricture | Eye Diseases, Optic Nerve Damage, Glaucoma Surgery | Hepatocellular Carcinoma, Liver Cancer | Nasopharyngeal Carcinoma | Non-Muscle Invasive Bladder Neoplasms | Open Angle Glaucoma | Primary Congenital Glaucoma | Superficial Bladder Cancer | Urothelial Carcinoma",mitomycin-c,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
15,2,Tier 2 — Consistent reversal,4,BRD-A30977374,nifedipine,-7.082452,-63.485985,-92.370224,3,3,1,-54.312887,-63.485985,-92.370224,-90.000000,15,True,False,True,False,True,True,4485.000000,Nifedipine,C17H18N2O6,346.300000,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3",HYIMSNHJOBLJNT-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT00306462 | NCT00865891 | NCT01071122 | NCT01303783 | NCT01360034 | NCT01788358 | NCT02426177 | NCT03005496 | NCT04278404 | NCT05687344,ACTIVE_NOT_RECRUITING | COMPLETED | RECRUITING | TERMINATED | UNKNOWN,NA | PHASE1 | PHASE2 | PHASE3 | PHASE4,"Coronavirus Infection (COVID-19), Pulmonary Arterial Hypertension, Urinary Tract Infections in Children, Hypertension, Pain | Healthy | Hypertension | Hypertension, Essential | Hypertensive Disorder of Pregnancy | Obstetric Labor, Premature | Postnatal Hypertension | PreTerm Birth | Premature Birth, Premature Labor",nifedipine,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
17,2,Tier 2 — Consistent reversal,4,BRD-A82238138,budesonide,-2.043693,-51.701840,-93.930910,3,3,1,-49.225481,-51.701840,-93.930910,-90.000000,17,True,False,True,False,True,True,5281004.000000,Budesonide,C25H34O6,430.500000,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C,"InChI=1S/C25H34O6/c1-4-5-21-30-20-11-17-16-7-6-14-10-15(27)8-9-23(14,2)22(16)18(28)12-24(17,3)25(20,31-21)19(29)13-26/h8-10,16-18,20-22,26,28H,4-7,11-13H2,1-3H3/t16-,17-,18-,20+,21?,22+,23-,24-,25+/m0/s1",VOVIALXJUBGFJZ-KWVAZRHASA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW,2026-08-31,United States,FDA/openFDA,ClinicalTrials.gov,False,,,,,,,,,429,False,,,,,,,,429,True,10,NCT00184171 | NCT00641979 | NCT00672763 | NCT01907204 | NCT04016220 | NCT04527016 | NCT05555290 | NCT05930132 | NCT07193485 | NCT07528820,COMPLETED | NOT_YET_RECRUITING | RECRUITING | TERMINATED | UNKNOWN | WITHDRAWN,"NA | PHASE1 | PHASE2 | PHASE2, PHASE3 | PHASE3 | PHASE4","Acute Asthma | Asthma | Asthma in Children | CRSwNP, Chronic Rhinosinusitis (Diagnosis), Nasal Polyposis | Colitis | Crohn's Disease | Endoscopic Sinus Surgery | Eustachian Tube Dysfunction | Seasonal Allergic Rhinitis | Sinusitis",budesonide,200,CLINICAL_TRIAL_EVIDENCE_ONLY,CLINICAL_INVESTIGATION_EVIDENCE,True,False,False,NOT_ASSIGNED_AUTOMATICALLY,PROCESSED
