priority_rank,priority_tier_number,priority_tier,cross_signature_consistency_score,pert_id,pert_iname,ATLAS_SIG_A_TOP150,ATLAS_SIG_B_TOP100,ATLAS_SIG_B_TOP150,n_signatures,n_negative,n_strong_negative,mean_tau,median_tau,minimum_tau,strong_negative_threshold,consensus_rank,A_TOP150_negative,A_TOP150_strong_negative,B_TOP100_negative,B_TOP100_strong_negative,B_TOP150_negative,B_TOP150_strong_negative,pubchem_cid,pubchem_title,molecular_formula,molecular_weight,canonical_smiles,isomeric_smiles,inchi,inchikey,pubchem_status,compound_classification,classification_reason,regulatory_status,regulatory_source,regulatory_verification_date,has_pubchem_identity,has_structure,multi_signature_negative,strong_cmap_support,downstream_status
1,1,Tier 1 — Strong consensus,5,BRD-K99447003,enalaprilat,-2.249479,-94.186320,-95.636980,3,3,2,-64.024260,-94.186320,-95.636980,-90.000000,1,True,False,True,True,True,True,5462501.000000,Enalaprilat,C18H24N2O5,348.4,CC(C(=O)N1CCCC1C(=O)O)NC(CCC2=CC=CC=C2)C(=O)O,C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N[C@@H](CCC2=CC=CC=C2)C(=O)O,"InChI=1S/C18H24N2O5/c1-12(16(21)20-11-5-8-15(20)18(24)25)19-14(17(22)23)10-9-13-6-3-2-4-7-13/h2-4,6-7,12,14-15,19H,5,8-11H2,1H3,(H,22,23)(H,24,25)/t12-,14-,15-/m0/s1",LZFZMUMEGBBDTC-QEJZJMRPSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
2,1,Tier 1 — Strong consensus,5,BRD-A81541225,oligomycin-a,-31.808538,-93.997200,-97.533480,3,3,2,-74.446406,-93.997200,-97.533480,-90.000000,2,True,False,True,True,True,True,52947716.000000,Oligomycin A,C45H74O11,791.1,CCC1CCC2C(C(C(C3(O2)CCC(C(O3)CC(C)O)C)C)OC(=O)C=CC(C(C(C(=O)C(C(C(C(=O)C(C(C(CC=CC=C1)C)O)(C)O)C)O)C)C)O)C)C,CC[C@@H]\1CC[C@H]2[C@H]([C@H]([C@@H]([C@]3(O2)CC[C@@H]([C@@H](O3)C[C@@H](C)O)C)C)OC(=O)/C=C/[C@@H]([C@H]([C@@H](C(=O)[C@@H]([C@H]([C@@H](C(=O)[C@]([C@H]([C@@H](C/C=C/C=C1)C)O)(C)O)C)O)C)C)O)C)C,"InChI=1S/C45H74O11/c1-12-34-17-15-13-14-16-27(4)42(51)44(11,53)43(52)32(9)40(50)31(8)39(49)30(7)38(48)26(3)18-21-37(47)54-41-29(6)35(20-19-34)55-45(33(41)10)23-22-25(2)36(56-45)24-28(5)46/h13-15,17-18,21,25-36,38,40-42,46,48,50-51,53H,12,16,19-20,22-24H2,1-11H3/b14-13+,17-15+,21-18+/t25-,26-,27+,28+,29+,30-,31-,32-,33-,34-,35-,36-,38+,40+,41+,42-,44+,45-/m0/s1",MNULEGDCPYONBU-AWJDAWNUSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
3,1,Tier 1 — Strong consensus,5,BRD-K89687904,PKCbeta-inhibitor,-24.450300,-90.709640,-97.772630,3,3,2,-70.977523,-90.709640,-97.772630,-90.000000,3,True,False,True,True,True,True,6419755.000000,PKCbeta Inhibitor,C24H21N5O2,411.5,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,C1=CC=C(C=C1)NC2=C(C(=O)NC2=O)C3=CN(C4=CC=CC=C43)CCCN5C=CN=C5,"InChI=1S/C24H21N5O2/c30-23-21(22(24(31)27-23)26-17-7-2-1-3-8-17)19-15-29(20-10-5-4-9-18(19)20)13-6-12-28-14-11-25-16-28/h1-5,7-11,14-16H,6,12-13H2,(H2,26,27,30,31)",KIWODJBCHRADND-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
4,1,Tier 1 — Strong consensus,4,BRD-K33483813,actarit,0.000000,-98.731500,-94.041336,3,2,2,-64.257612,-94.041336,-98.731500,-90.000000,4,False,False,True,True,True,True,2018.000000,Actarit,C10H11NO3,193.20,CC(=O)NC1=CC=C(C=C1)CC(=O)O,CC(=O)NC1=CC=C(C=C1)CC(=O)O,"InChI=1S/C10H11NO3/c1-7(12)11-9-4-2-8(3-5-9)6-10(13)14/h2-5H,6H2,1H3,(H,11,12)(H,13,14)",MROJXXOCABQVEF-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
5,1,Tier 1 — Strong consensus,4,BRD-K45252063,clofibrate,0.000000,-95.066950,-93.316580,3,2,2,-62.794510,-93.316580,-95.066950,-90.000000,5,False,False,True,True,True,True,2796.000000,Clofibrate,C12H15ClO3,242.70,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,"InChI=1S/C12H15ClO3/c1-4-15-11(14)12(2,3)16-10-7-5-9(13)6-8-10/h5-8H,4H2,1-3H3",KNHUKKLJHYUCFP-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
6,1,Tier 1 — Strong consensus,4,BRD-K19416115,sitagliptin,0.000000,-95.046020,-92.978720,3,2,2,-62.674913,-92.978720,-95.046020,-90.000000,6,False,False,True,True,True,True,4369359.000000,Sitagliptin,C16H15F6N5O,407.31,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,"InChI=1S/C16H15F6N5O/c17-10-6-12(19)11(18)4-8(10)3-9(23)5-14(28)26-1-2-27-13(7-26)24-25-15(27)16(20,21)22/h4,6,9H,1-3,5,7,23H2/t9-/m1/s1",MFFMDFFZMYYVKS-SECBINFHSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
7,1,Tier 1 — Strong consensus,4,BRD-K01976263,emetine,0.000000,-96.723045,-91.633950,3,2,2,-62.785665,-91.633950,-96.723045,-90.000000,7,False,False,True,True,True,True,10219.000000,Emetine,C29H40N2O4,480.6,CCC1CN2CCC3=CC(=C(C=C3C2CC1CC4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1C[C@@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC,"InChI=1S/C29H40N2O4/c1-6-18-17-31-10-8-20-14-27(33-3)29(35-5)16-23(20)25(31)12-21(18)11-24-22-15-28(34-4)26(32-2)13-19(22)7-9-30-24/h13-16,18,21,24-25,30H,6-12,17H2,1-5H3/t18-,21-,24+,25-/m0/s1",AUVVAXYIELKVAI-CKBKHPSWSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
9,2,Tier 2 — Consistent reversal,4,BRD-K13356952,methazolamide,-19.686787,-95.771670,-85.611694,3,3,1,-67.023384,-85.611694,-95.771670,-90.000000,9,True,False,True,True,True,False,4100.000000,Methazolamide,C5H8N4O3S2,236.3,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,CC(=O)N=C1N(N=C(S1)S(=O)(=O)N)C,"InChI=1S/C5H8N4O3S2/c1-3(10)7-4-9(2)8-5(13-4)14(6,11)12/h1-2H3,(H2,6,11,12)",FLOSMHQXBMRNHR-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
11,2,Tier 2 — Consistent reversal,4,BRD-K09859624,methantheline,-5.637197,-93.909650,-83.348440,3,3,1,-60.965096,-83.348440,-93.909650,-90.000000,11,True,False,True,True,True,False,4097.000000,Methantheline,C21H26NO3+,340.4,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13,"InChI=1S/C21H26NO3/c1-4-22(3,5-2)14-15-24-21(23)20-16-10-6-8-12-18(16)25-19-13-9-7-11-17(19)20/h6-13,20H,4-5,14-15H2,1-3H3/q+1",GZHFODJQISUKAY-UHFFFAOYSA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
12,2,Tier 2 — Consistent reversal,4,BRD-K55420858,mirin,-17.979301,-91.832400,-80.718860,3,3,1,-63.510187,-80.718860,-91.832400,-90.000000,12,True,False,True,True,True,False,1206243.000000,Mirin,C10H8N2O2S,220.25,C1=CC(=CC=C1C=C2C(=O)N=C(S2)N)O,C1=CC(=CC=C1/C=C\2/C(=O)N=C(S2)N)O,"InChI=1S/C10H8N2O2S/c11-10-12-9(14)8(15-10)5-6-1-3-7(13)4-2-6/h1-5,13H,(H2,11,12,14)/b8-5-",YBHQCJILTOVLHD-YVMONPNESA-N,resolved,identified_compound,Compound identity and structure were resolved through PubChem.,NOT_VERIFIED,,,True,True,True,True,CANDIDATE_FOR_DRUG_STATUS_REVIEW
